Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
67, -51, 0, 61, 25.0, 4-121, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-20, 2
67, -44, 0, 57, 25.0, 4-20, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
67, -2, 0, -87, 25.0, 4-37, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
68, -37, 0, -172, 25.0, 4-122, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-91, 3
68, -50, 0, -178, 25.0, 4-123, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-91, 3
68, -42, 0, -173, 25.0, 4-91, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
68, -62, 0, -84, 25.0, 4-124, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-49, 2
68, -70, 0, -66, 25.0, 4-49, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
68, -52, 0, 0, 25.0, 4-125, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-83, 3
68, -51, 0, -12, 25.0, 4-83, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
69, 112, 0, -47, 25.0, 4-126, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-86, 3
69, 108, 0, -70, 25.0, 4-127, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-86, 3
69, 97, 0, -57, 25.0, 4-86, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
69, -22, 0, -95, 25.0, 4-46, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
70, 62, 0, 4, 25.0, 4-128, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-84, 3
70, 90, 0, 14, 25.0, 4-129, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-84, 3
70, 82, 0, -14, 25.0, 4-130, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-84, 3
70, 80, 0, 2, 25.0, 4-84, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
70, -13, 0, 16, 25.0, 4-33, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
70, -41, 0, -166, 25.0, 4-92, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
72, -90, 0, -97, 25.0, 4-131, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-21, 2
