Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
30, -45, 0, 37, 25.0, 4-9, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -62, 0, 10, 25.0, 4-11, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -14, 0, 16, 25.0, 4-12, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -104, 0, 2, 25.0, 4-13, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -92, 0, 37, 25.0, 4-14, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -5, 0, -96, 25.0, 4-15, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 12, 0, -82, 25.0, 4-16, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, 27, 0, 20, 25.0, 4-18, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 54, 0, -54, 25.0, 4-19, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, 22, 0, -58, 25.0, 4-20, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -71, 0, 39, 25.0, 4-21, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -128, 0, -15, 25.0, 4-22, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -71, 0, 2, 25.0, 4-23, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 2, 0, -64, 25.0, 4-24, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -15, 0, -23, 25.0, 4-25, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -9, 0, -138, 25.0, 4-26, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -4, 0, -53, 25.0, 4-27, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, 8, 0, 7, 25.0, 4-28, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
